person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight
2024HU0099577_1,MO,Missouri,Midwest,00601,Female,54,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Separated,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),120
2024HU0036176_3,VA,Virginia,South,01500,Female,77,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Father or mother,Females with no own children,4,N/A (less than 15 years/greater than 50 years/ male),87
2024HU0164279_1,IA,Iowa,Midwest,00400,Female,67,White alone,Not Spanish/Hispanic/Latino,Associate's degree,MED-Registered Nurses,"MED-General Medical And Surgical Hospitals, And Specialty (Except Psychiatric And Substance Abuse) Hospitals",Married,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),25
2024HU0232461_2,VA,Virginia,South,18500,Male,40,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Biological son or daughter,N/A (male/female under 16 years old/GQ),4,N/A (less than 15 years/greater than 50 years/ male),73
2024HU0478006_2,TX,Texas,South,02507,Male,70,Black or African American alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),108
2024HU1130594_1,IL,Illinois,Midwest,09701,Female,52,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,ENT-Graphic Designers,PRF-Management Of Companies And Enterprises,Divorced,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),59
2024HU1395724_4,NM,New Mexico,West,00100,Female,23,American Indian or Alaska Native alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CLN-Maids And Housekeeping Cleaners,ENT-Traveler Accommodation,Never married or under 15 years old,Brother or sister,Females with no own children,7,No,275
2024HU0434931_1,CO,Colorado,West,01301,Female,62,Some other race alone,Not Spanish/Hispanic/Latino,Associate's degree,EDU-Elementary And Middle School Teachers,EDU-Elementary And Secondary Schools,Married,Reference person,Females with no own children,4,N/A (less than 15 years/greater than 50 years/ male),217
2024HU0462433_1,CA,California,West,09704,Male,53,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",CLN-Janitors And Building Cleaners,EDU-Elementary And Secondary Schools,Divorced,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),62
2024HU1340605_1,FL,Florida,South,09901,Male,46,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,MGR-Sales Managers,"MFG-Machinery, N.E.C. Or Not Specified",Divorced,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),84
